Perpendicular, line: $point_pair#Draw a perpendicular of AD
Perpendicular, line: $point_pair#Construct a perpendicular of AD
Join, points: $point1+$point2#Join the point A and D
Join, points: $point1+$point2#Connect the point A and D
Bisect, line: $point_pair#Bisect line AE
Bisect, line: $point_pair#Draw a bisector of line AE
Bisect, line: $point_pair#Draw a perpendicular bisector of AE
Perpendicular, line: $point_pair#Draw a perpendicular to AE
Perpendicular, line: $point_pair#Draw a perpendicular of AE
Perpendicular, line: $point_pair#Construct a perpendicular of AE
Join, points: $point1+$point2#Join the point A and E
Join, points: $point1+$point2#Connect the point A and E
Bisect, line: $point_pair#Bisect line AF
Bisect, line: $point_pair#Draw a bisector of line AF
Bisect, line: $point_pair#Draw a perpendicular bisector of AF
Perpendicular, line: $point_pair#Draw a perpendicular to AF
Perpendicular, line: $point_pair#Draw a perpendicular of AF
Perpendicular, line: $point_pair#Construct a perpendicular of AF
Join, points: $point1+$point2#Join the point A and F
Join, points: $point1+$point2#Connect the point A and F
Bisect, line: $point_pair#Bisect line BC
Bisect, line: $point_pair#Draw a bisector of line BC
Bisect, line: $point_pair#Draw a perpendicular bisector of BC
Perpendicular, line: $point_pair#Draw a perpendicular to BC
Perpendicular, line: $point_pair#Draw a perpendicular of BC
Perpendicular, line: $point_pair#Construct a perpendicular of BC
Join, points: $point1+$point2#Join the point B and C
Join, points: $point1+$point2#Connect the point B and C
Bisect, line: $point_pair#Bisect line BD
Bisect, line: $point_pair#Draw a bisector of line BD
Bisect, line: $point_pair#Draw a perpendicular bisector of BD
Perpendicular, line: $point_pair#Draw a perpendicular to BD
Perpendicular, line: $point_pair#Draw a perpendicular of BD
Perpendicular, line: $point_pair#Construct a perpendicular of BD
Join, points: $point1+$point2#Join the point B and D
Join, points: $point1+$point2#Connect the point B and D
Bisect, line: $point_pair#Bisect line BE
Bisect, line: $point_pair#Draw a bisector of line BE
Bisect, line: $point_pair#Draw a perpendicular bisector of BE
Perpendicular, line: $point_pair#Draw a perpendicular to BE
Perpendicular, line: $point_pair#Draw a perpendicular of BE
Perpendicular, line: $point_pair#Construct a perpendicular of BE
Join, points: $point1+$point2#Join the point B and E
Join, points: $point1+$point2#Connect the point B and E
Bisect, line: $point_pair#Bisect line BF
Bisect, line: $point_pair#Draw a bisector of line BF
Bisect, line: $point_pair#Draw a perpendicular bisector of BF
Perpendicular, line: $point_pair#Draw a perpendicular to BF
Perpendicular, line: $point_pair#Draw a perpendicular of BF
Perpendicular, line: $point_pair#Construct a perpendicular of BF
Join, points: $point1+$point2#Join the point B and F
Join, points: $point1+$point2#Connect the point B and F
Bisect, line: $point_pair#Bisect line CD
Bisect, line: $point_pair#Draw a bisector of line CD
Bisect, line: $point_pair#Draw a perpendicular bisector of CD
Perpendicular, line: $point_pair#Draw a perpendicular to CD
Perpendicular, line: $point_pair#Draw a perpendicular of CD
Perpendicular, line: $point_pair#Construct a perpendicular of CD
Join, points: $point1+$point2#Join the point C and D
Join, points: $point1+$point2#Connect the point C and D
Bisect, line: $point_pair#Bisect line CE
Bisect, line: $point_pair#Draw a bisector of line CE
Bisect, line: $point_pair#Draw a perpendicular bisector of CE
Perpendicular, line: $point_pair#Draw a perpendicular to CE
Perpendicular, line: $point_pair#Draw a perpendicular of CE
Perpendicular, line: $point_pair#Construct a perpendicular of CE
Join, points: $point1+$point2#Join the point C and E
Join, points: $point1+$point2#Connect the point C and E
Bisect, line: $point_pair#Bisect line CF
Bisect, line: $point_pair#Draw a bisector of line CF
Bisect, line: $point_pair#Draw a perpendicular bisector of CF
Perpendicular, line: $point_pair#Draw a perpendicular to CF
Perpendicular, line: $point_pair#Draw a perpendicular of CF
Perpendicular, line: $point_pair#Construct a perpendicular of CF
Join, points: $point1+$point2#Join the point C and F
Join, points: $point1+$point2#Connect the point C and F
